time;lv Rx;lv Ry;lv Rz;lv Vx;lv Vy;lv Vz;sc Rx;sc Ry;sc Rz;sc Vx;sc Vy;sc Vz;rel dist;rel vel;stiff force
0.14;5737473.146694866;-936747.1043200102;3290132.3327478236;-3436.259885051346;2125.068720147614;6597.3412156356535;5737473.089372346;-936747.068862177;3290132.4428471215;-3436.3773676553733;2125.1413910377273;6597.566864336886;0.1290929301861702;0.26457618352181117;2727.2120944148937
0.15;5737438.783729513;-936725.8535807714;3290198.305907077;-3436.333203276018;2125.079138645227;6597.290669446144;5737438.725195691;-936725.8173736666;3290198.4183329223;-3436.4579429109017;2125.1562984968873;6597.530256718123;0.13182083836740527;0.28091934805820523;2645.374848977842
0.16;5737404.420030454;-936704.6027370233;3290264.2785618766;-3436.4066278728374;2125.0896229412365;6597.240327565882;5737404.360213881;-936704.5657364507;3290264.3934514998;-3436.53839709045;2125.1711310624833;6597.493416549252;0.13470965167756613;0.29675028903606376;2558.7104496730162
0.17;5737370.055596588;-936683.3517880852;3290330.2507143347;-3436.480164940537;2125.1001768081233;6597.190201708721;5737369.994428167;-936683.313951304;3290330.3682004497;-3436.618723308329;2125.1858844752587;6597.456330604966;0.13775407429835165;0.3120397649455933;2467.3777710494505
0.18;5737335.690426759;-936662.1007332421;3290396.2223666715;-3436.5538203415563;2125.110803872205;6597.140303134669;5737335.627839865;-936662.0620190398;3290396.3425772465;-3436.6989149456354;2125.20055464098;6597.418986172367;0.14094854069561524;0.32675966723146477;2371.5437791315426
0.19;5737301.324519758;-936640.8495717461;3290462.19352121;-3436.627599688287;2125.121507605128;6597.090642623466;5737301.260450349;-936640.8099405087;3290462.316579249;-3436.7789656657733;2125.215137640043;6597.381371080793;0.14428723143789846;0.3408830862306047;2271.3830568630465
0.2;5737266.957874323;-936619.5983028164;3290528.164180374;-3436.7015083430774;2125.132291323871;6597.041230474595;5737266.892261054;-936619.557716598;3290528.2902037026;-3436.858869414458;2125.229629727469;6597.343473701809;0.14776407408583472;0.3543843111616323;2167.077777424958
0.21;5737232.590489138;-936598.3469256394;3290594.134346689;-3436.77555141823;2125.14315819074;6596.992076507273;5737232.5232734755;-936598.3053482324;3290594.263447735;-3436.938620419712;2125.2440273329075;6597.305282949213;0.15137273897962475;0.3672388301344449;2058.8178306112577
0.22;5737198.222362836;-936577.0954393691;3290660.1040227837;-3436.8497337760014;2125.154111213373;6596.943190060457;5737198.153489167;-936577.0528363733;3290660.236308362;-3437.01821319187;2125.258327060635;6597.266788279034;0.15510664629718537;0.3794233301447928;1946.8006110844387
0.23;5737163.853493996;-936555.8438431263;3290726.0732113873;-3436.9240600286034;2125.165153244738;6596.894579992844;5737163.782909743;-936555.8001820194;3290726.2087824815;-3437.097642523573;2125.272525689555;6597.227979689532;0.15895895910832505;0.3909156970719415;1831.2312267502484
0.24;5737129.4838811485;-936534.592136003;3290792.0419153194;-3436.998534550713;2125.176286990871;6596.846254706896;5737129.41153687;-936534.5473862017;3290792.1808668934;-3437.1769034756485;2125.2866201644624;6597.1888476940685;0.1629226175824572;0.4016949557031347;1712.3214725262837
0.25;5737095.113522797;-936513.3403170725;3290858.0101374565;-3437.0731614766646;2125.187515009142;6596.7982221434495;5737095.0393722495;-936513.2944499725;3290858.1525583286;-3437.255991380276;2125.300607598001;6597.1493833271925;0.16699041695445857;0.4117412831830735;1590.2874913662429
0.26;5737060.742417398;-936492.0883853806;3290923.9778807624;-3437.147944631197;2125.1988396654124;6596.750489648703;5737060.666417633;-936492.0413744155;3290924.1238534236;-3437.3349019191824;2125.314485319032;6597.109578294827;0.1711549382716411;0.4210363410768306;1465.351851850767
0.27;5737026.370563372;-936470.8363399499;3290989.9451482724;-3437.222887549786;2125.210263146617;6596.703064013266;5737026.292674815;-936470.78816064;3290990.0947487336;-3437.4136311006764;2125.3282508584325;6597.069424930161;0.17540858341807405;0.42956317786115694;1337.7424974577784
0.28;5736991.997959104;-936449.5841797816;3291055.9119430864;-3437.2979934785967;2125.221787460732;6596.655951472069;5736991.918145628;-936449.5348097797;3291056.0652407384;-3437.492175259713;2125.3419019491294;6597.028916193775;0.17974359031050136;0.43730622917780215;1207.6922906849593
0.29;5736957.624602949;-936428.3319038583;3291121.878268365;-3437.3732653646666;2125.233414430702;6596.609157685511;5736957.542831938;-936428.2813229895;3291122.0353258513;-3437.570531068969;2125.355436532954;6596.988045694907;0.18415204768581114;0.44425136487827027;1075.4385694256657
0.3;5736923.250493234;-936407.0795111454;3291187.8441273198;-3437.4487058496916;2125.245145690599;6596.562687727518;5736923.166735644;-936407.0277014436;3291188.005000427;-3437.648695545863;2125.3688527649842;6596.946807704941;0.18862591446028598;0.45038591883337836;941.2225661914206
0.31;5736888.875628262;-936385.8270005921;3291253.8095232137;-3437.5243172686523;2125.2569826847703;6596.516546082913;5736888.789858674;-936385.7739463341;3291253.9742607637;-3437.7266660541045;2125.3821490145015;6596.905197160384;0.19315702664936713;0.4556986955123831;805.2892005189863
0.32;5736854.500004479;-936364.5743700007;3291319.7744628713;-3437.6006726821975;2125.269279889765;6596.471833428643;5736854.412205048;-936364.5200601488;3291319.9430991374;-3437.803795589712;2125.3949250660453;6596.861971361467;0.19772832455407743;0.4574420537163372;0.0
0.33;5736820.1236141585;-936343.3216145925;3291385.7389611304;-3437.6773912393637;2125.2818017236577;6596.4278182647295;5736820.033783499;-936343.2660482887;3291385.9114987757;-3437.8805141456883;2125.4074468992026;6596.817956195275;0.20230274473142754;0.457442051042072;0.0
0.34;5736785.746456656;-936322.0687339673;3291451.7030192334;-3437.7541093368072;2125.2943232733364;6596.38380221868;5736785.654594767;-936322.0119112117;3291451.8794582584;-3437.9572322419144;2125.419968448129;6596.773940146893;0.20687716571947062;0.4574420483060802;0.0
0.35000000000000003;5736751.368531974;-936300.8157281278;3291517.666637172;-3437.830826974518;2125.3068445388;6596.3397852905;5736751.274638856;-936300.7576489206;3291517.8469775757;-3438.03394987838;2125.4324897128236;6596.72992321633;0.21145158584926663;0.4574420455089357;0.0
